"Date","Price","Open","High","Low","Vol.","Change %"
"24-05-2021","56.50","52.45","56.75","52.10","24.81M","9.50%"
"21-05-2021","51.60","52.25","53.20","51.30","3.37M","0.00%"
"20-05-2021","51.60","52.40","53.00","51.00","3.48M","-0.48%"
"19-05-2021","51.85","52.20","54.10","51.45","7.65M","0.39%"
"18-05-2021","51.65","50.80","54.40","49.00","11.02M","2.48%"
"17-05-2021","50.40","52.00","53.50","50.05","4.44M","-4.73%"
"14-05-2021","52.90","54.95","56.10","51.60","9.67M","-2.31%"
"12-05-2021","54.15","54.90","58.30","49.80","29.53M","2.07%"
"11-05-2021","53.05","47.50","53.05","46.95","23.31M","9.95%"
"10-05-2021","48.25","48.40","49.35","47.45","9.93M","2.01%"
"07-05-2021","47.30","46.80","49.10","46.00","8.22M","2.05%"
"06-05-2021","46.35","47.75","48.45","45.55","6.03M","-2.01%"
"05-05-2021","47.30","45.55","48.30","45.10","5.89M","3.96%"
"04-05-2021","45.50","50.70","50.70","45.45","14.92M","-9.81%"
"03-05-2021","50.45","41.90","50.85","41.55","31.75M","18.99%"
"30-04-2021","42.40","37.50","44.25","37.10","24.84M","13.07%"
"29-04-2021","37.50","36.00","38.40","34.30","7.04M","7.30%"
"28-04-2021","34.95","33.80","35.70","33.65","3.45M","3.71%"
"27-04-2021","33.70","33.50","33.80","33.20","2.87M","1.66%"
"26-04-2021","33.15","33.65","33.95","33.00","2.36M","-0.30%"
"23-04-2021","33.25","33.20","35.15","32.90","3.18M","-0.30%"
"22-04-2021","33.35","33.30","34.10","32.90","2.27M","-0.15%"
"20-04-2021","33.40","33.70","34.30","32.70","2.29M","1.21%"
"19-04-2021","33.00","32.55","33.75","32.55","2.55M","-5.85%"
"16-04-2021","35.05","34.90","36.00","34.40","3.24M","1.01%"
"15-04-2021","34.70","35.50","35.90","34.00","2.90M","-1.84%"
"13-04-2021","35.35","34.55","35.85","34.50","2.63M","3.21%"
"12-04-2021","34.25","36.55","36.95","34.05","5.65M","-9.99%"
"09-04-2021","38.05","38.75","39.20","37.40","2.29M","-1.30%"
"08-04-2021","38.55","38.55","39.55","38.15","3.33M","1.72%"
"07-04-2021","37.90","39.15","39.50","37.20","4.37M","-2.57%"
"06-04-2021","38.90","39.50","43.00","38.25","19.08M","-0.51%"
"05-04-2021","39.10","38.45","40.70","37.50","5.31M","2.36%"
"01-04-2021","38.20","35.40","38.60","35.40","5.78M","8.83%"
"31-03-2021","35.10","35.60","36.80","34.80","2.11M","-1.27%"
"30-03-2021","35.55","37.00","37.30","35.15","1.79M","-2.87%"
"26-03-2021","36.60","36.60","37.60","35.65","2.23M","2.66%"
"25-03-2021","35.65","37.80","38.10","35.20","4.31M","-5.06%"
"24-03-2021","37.55","39.80","41.60","36.95","9.57M","-5.65%"
"23-03-2021","39.80","37.60","39.80","36.65","6.78M","9.94%"
"22-03-2021","36.20","33.30","36.20","32.30","5.72M","9.86%"
